2, 25326, Note_off_c, 0, 79, 90
2, 25344, Note_on_c, 0, 78, 86
2, 25768, Note_off_c, 0, 78, 86
2, 25920, Note_on_c, 0, 77, 93
2, 26078, Note_off_c, 0, 77, 93
2, 26112, Note_on_c, 0, 76, 91
2, 26548, Note_off_c, 0, 76, 91
2, 26684, Note_on_c, 0, 75, 86
2, 26862, Note_off_c, 0, 75, 86
2, 26880, Note_on_c, 0, 74, 102
2, 27218, Note_off_c, 0, 74, 102
2, 27436, Note_on_c, 0, 67, 99
2, 27622, Note_off_c, 0, 67, 99
2, 27648, Note_on_c, 0, 79, 116
2, 28052, Note_off_c, 0, 79, 116
2, 28230, Note_on_c, 0, 79, 109
2, 28310, Note_on_c, 0, 78, 113
2, 28338, Note_off_c, 0, 79, 109
2, 28408, Note_off_c, 0, 78, 113
2, 28416, Note_on_c, 0, 77, 113
2, 28840, Note_off_c, 0, 77, 113
2, 29012, Note_on_c, 0, 77, 111
2, 29084, Note_on_c, 0, 76, 97
2, 29124, Note_off_c, 0, 77, 111
2, 29168, Note_off_c, 0, 76, 97
2, 29184, Note_on_c, 0, 75, 110
2, 29742, Note_off_c, 0, 75, 110
2, 29760, Note_on_c, 0, 78, 90
2, 29824, Note_off_c, 0, 78, 90
2, 29866, Note_on_c, 0, 79, 99
2, 29928, Note_off_c, 0, 79, 99
2, 29952, Note_on_c, 0, 74, 92
2, 30494, Note_off_c, 0, 74, 92
2, 30536, Note_on_c, 0, 77, 77
2, 30598, Note_off_c, 0, 77, 77
2, 30616, Note_on_c, 0, 74, 88
2, 30698, Note_off_c, 0, 74, 88
2, 30720, Note_on_c, 0, 72, 99
2, 31080, Note_off_c, 0, 72, 99
2, 31310, Note_on_c, 0, 72, 102
2, 31404, Note_on_c, 0, 76, 86
2, 31426, Note_off_c, 0, 72, 102
2, 31472, Note_off_c, 0, 76, 86
2, 31488, Note_on_c, 0, 79, 116
2, 31800, Note_off_c, 0, 79, 116
2, 32078, Note_on_c, 0, 79, 115
2, 32148, Note_off_c, 0, 79, 115
2, 32172, Note_on_c, 0, 76, 110
2, 32256, Note_off_c, 0, 76, 110
2, 32256, Note_on_c, 0, 81, 127
2, 32578, Note_off_c, 0, 81, 127
2, 32840, Note_on_c, 0, 81, 109
2, 32912, Note_off_c, 0, 81, 109
2, 32936, Note_on_c, 0, 84, 127
2, 33024, Note_on_c, 0, 79, 126
2, 33036, Note_off_c, 0, 84, 127
2, 33320, Note_off_c, 0, 79, 126
2, 33588, Note_on_c, 0, 76, 95
2, 33680, Note_on_c, 0, 79, 110
